OTU,Size,Kingdom,Phylum,Class,Order,Family,Genus
Otu1499,3,Bacteria,Proteobacteria,Alphaproteobacteria,Acetobacterales,Acetobacteraceae,Roseomonas
Otu1507,3,Bacteria,Chloroflexi,Anaerolineae,SBR1031,A4b,A4b_ge
Otu1508,3,Archaea,Euryarchaeota,Halobacteria,Halobacteriales,Halomicrobiaceae,Natronomonas
Otu1509,3,Bacteria,Verrucomicrobia,Verrucomicrobiae,Verrucomicrobiae_unclassified,Verrucomicrobiae_unclassified,Verrucomicrobiae_unclassified
Otu1511,3,Bacteria,Proteobacteria,Alphaproteobacteria,Rickettsiales,Rickettsiaceae,Rickettsiaceae_unclassified
Otu1512,3,Bacteria,Acidobacteria,Holophagae,Holophagales,Holophagaceae,uncultured
Otu1513,3,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas
Otu1514,3,Bacteria,Proteobacteria,Gammaproteobacteria,R7C24,R7C24_fa,R7C24_ge
Otu1515,3,Bacteria,Proteobacteria,Gammaproteobacteria,Salinisphaerales,Solimonadaceae,Solimonadaceae_unclassified
Otu1516,3,Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,Blfdi19,Blfdi19_ge
Otu1517,3,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Sporobacter
Otu1519,3,Bacteria,Actinobacteria,Actinobacteria,Micrococcales,Micrococcales_Incertae_Sedis,Timonella
Otu1520,3,Bacteria,Spirochaetes,MVP-15,MVP-15_or,MVP-15_fa,MVP-15_ge
Otu1522,3,Bacteria,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,Burkholderiaceae,Duganella
Otu1523,3,Bacteria,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,Hydrogenophilaceae,Hydrogenophilus
Otu1524,3,Bacteria,Actinobacteria,Actinobacteria,Pseudonocardiales,Pseudonocardiaceae,Pseudonocardiaceae_unclassified
Otu1525,3,Bacteria,Actinobacteria,Actinobacteria,Micrococcales,Dermatophilaceae,Dermatophilaceae_unclassified
Otu1529,3,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillales_unclassified,Lactobacillales_unclassified
Otu1530,3,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus
Otu1532,3,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus
Otu1533,3,Bacteria,Patescibacteria,Microgenomatia,Candidatus_Shapirobacteria,Candidatus_Shapirobacteria_fa,Candidatus_Shapirobacteria_ge
Otu1536,3,Bacteria,Acidobacteria,Subgroup_6,Subgroup_6_or,Subgroup_6_fa,Subgroup_6_ge
Otu1537,3,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,FTLpost3,FTLpost3_ge
Otu1538,3,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Dysgonomonadaceae,Dysgonomonas
Otu1539,3,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingomonas
Otu1540,3,Bacteria,Bacteroidetes,Bacteroidia,Sphingobacteriales,Sphingobacteriaceae,Sphingobacterium
Otu1542,3,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingomonadaceae_unclassified
Otu1543,3,Bacteria,Bacteroidetes,Bacteroidia,Sphingobacteriales,Sphingobacteriaceae,Pedobacter
Otu1544,3,Bacteria,Bacteroidetes,Bacteroidia,Sphingobacteriales,Sphingobacteriaceae,Sphingobacteriaceae_unclassified
Otu1545,3,Bacteria,Firmicutes,Clostridia,Clostridiales,Christensenellaceae,Christensenellaceae_R-7_group
Otu1548,3,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingomonadaceae_unclassified
Otu1549,3,Bacteria,Bacteroidetes,Bacteroidia,Chitinophagales,Chitinophagaceae,Taibaiella
Otu1550,3,Bacteria,Bacteroidetes,Bacteroidia,Flavobacteriales,Flavobacteriales_unclassified,Flavobacteriales_unclassified
Otu1551,3,Bacteria,Bacteroidetes,Bacteroidia,Cytophagales,Hymenobacteraceae,Hymenobacter
Otu1552,3,Bacteria,Bacteroidetes,Bacteroidia,Cytophagales,Spirosomaceae,Larkinella
Otu1553,3,Bacteria,Proteobacteria,Gammaproteobacteria,Legionellales,Legionellaceae,Legionella
Otu1554,3,Bacteria,Proteobacteria,Gammaproteobacteria,Oceanospirillales,Halomonadaceae,Halomonadaceae_unclassified
